Energy (eV),Shell,Element Number,Element Name
8.10200,Ly1,65,Tb
8.14610,La1,73,Ta
8.18900,LB2,68,Er
8.26466,KB1,28,Ni
8.33520,La2,74,W
8.39760,La1,74,W
8.40180,LB1,70,Yb
8.41880,Ly1,66,Dy
8.46800,LB2,69,Tm
8.58620,La2,75,Re
8.61578,Ka2,30,Zn
8.63886,Ka1,30,Zn
8.65250,La1,75,Re
8.70900,LB1,71,Lu
8.74700,Ly1,67,Ho
8.75880,LB2,70,Yb
8.84100,La2,76,Os
8.90529,KB1,29,Cu
8.91170,La1,76,Os
9.02270,LB1,72,Hf
9.04890,LB2,71,Lu
9.08900,Ly1,68,Er
9.09950,La2,77,Ir
9.17510,La1,77,Ir
9.22482,Ka2,31,Ga
9.25174,Ka1,31,Ga
9.34310,LB1,73,Ta
9.34730,LB2,72,Hf
9.36180,La2,78,Pt
9.42600,Ly1,69,Tm
9.44230,La1,78,Pt
9.57200,KB1,30,Zn
9.62800,La2,79,Au
9.65180,LB2,73,Ta
9.67235,LB1,74,W
9.71330,La1,79,Au
9.78010,Ly1,70,Yb
9.85532,Ka2,32,Ge
9.88642,Ka1,32,Ge
9.89760,La2,80,Hg
9.96150,LB2,74,W
9.98880,La1,80,Hg
10.01000,LB1,75,Re
10.14340,Ly1,71,Lu
10.17280,La2,81,Tl
10.26420,KB1,31,Ga
10.26850,La1,81,Tl
10.27520,LB2,75,Re
10.35530,LB1,76,Os
10.44950,La2,82,Pb
10.50799,Ka2,33,As
10.51580,Ly1,72,Hf
10.54372,Ka1,33,As
10.55150,La1,82,Pb
10.59850,LB2,76,Os
10.70830,LB1,77,Ir
10.73091,La2,83,Bi
10.83880,La1,83,Bi
10.89520,Ly1,73,Ta
10.92030,LB2,77,Ir
10.98210,KB1,32,Ge
11.01580,La2,84,Po
11.07070,LB1,78,Pt
11.13080,La1,84,Po
11.18140,Ka2,34,Se
11.22240,Ka1,34,Se
11.25050,LB2,78,Pt
11.28590,Ly1,74,W
11.30480,La2,85,At
11.42680,La1,85,At
11.44230,LB1,79,Au
11.58470,LB2,79,Au
11.59790,La2,86,Rn
11.68540,Ly1,75,Re
11.72620,KB1,33,As
11.72700,La1,86,Rn
11.82260,LB1,80,Hg
11.87760,Ka2,35,Br
11.89500,La2,87,Fr
11.92410,LB2,80,Hg
11.92420,Ka1,35,Br
12.03130,La1,87,Fr
12.09530,Ly1,76,Os
12.19620,La2,88,Ra
12.21330,LB1,81,Tl
12.27150,LB2,81,Tl
12.33970,La1,88,Ra
12.49590,KB1,34,Se
12.50080,La2,89,Ac
12.51260,Ly1,77,Ir
12.59800,Ka2,36,Kr
12.61370,LB1,82,Pb
12.62260,LB2,82,Pb
12.64900,Ka1,36,Kr
12.65200,La1,89,Ac
12.80960,La2,90,Th
12.94200,Ly1,78,Pt
